sentence,labels
3PARA RAT command and control commands are encrypted within the HTTP C2 channel using the DES algorithm in CBC mode with a key derived from the MD5 hash of the string HYF54&%9&jkMCXuiS. 3PARA RAT will use an 8-byte XOR key derived from the string HYF54&%9&jkMCXuiS if the DES decoding fails,['T1573.001']
3PARA RAT has a command to retrieve metadata for files on disk as well as a command to list the current working directory.,['T1083']
3PARA RAT uses HTTP for command and control.,['T1071.001']
4H RAT has the capability to create a remote shell.,['T1059.003']
4H RAT has the capability to obtain a listing of running processes (including loaded modules).,['T1057']
4H RAT has the capability to obtain file and directory listings.,['T1083']
4H RAT obfuscates C2 communication using a 1-byte XOR with the key 0xBE.,['T1573.001']
4H RAT sends an OS version identifier in its beacons.,['T1082']
4H RAT uses HTTP for command and control.,['T1071.001']
A BlackEnergy 2 plug-in uses WMI to gather victim host details.,['T1047']
A Gamaredon Group file stealer can gather the victim's computer name and drive serial numbers to send to a C2 server.,['T1082']
A Gamaredon Group file stealer can gather the victim's username to send to a C2 server.,['T1033']
A Gamaredon Group file stealer can transfer collected files to a hardcoded C2 server.,['T1041']
A JHUHUGIT variant gathers network interface card information.,['T1016']
"A JHUHUGIT variant takes screenshots by simulating the user pressing the ""Take Screenshot"" key (VK_SCREENSHOT), accessing the screenshot saved in the clipboard, and converting it to a JPG image.",['T1113']
A JPIN uses a encrypted and compressed payload that is disguised as a bitmap within the resource section of the installer.,['T1027']
"A Linux version of Derusbi checks if the victim user ID is anything other than zero (normally used for root), and the malware will not execute if it does not have root privileges. Derusbi also gathers the username of the victim.",['T1033']
A OilRig macro has run a PowerShell command to decode file contents. OilRig has also used certutil to decode base64-encoded files on victims.,['T1140']
A Patchwork .dll that contains BADNEWS is loaded and executed using DLL side-loading.,['T1574.002']
A Patchwork file stealer can run a TaskScheduler DLL to add persistence.,['T1053.005']
A Patchwork payload deletes Resiliency Registry keys created by Microsoft Office applications in an apparent effort to trick users into thinking there were no issues during application runs.,['T1112']
A Patchwork payload has searched all fixed drives on the victim for files matching a specified list of extensions.,['T1083']
A PingPull variant can communicate with its C2 servers by using HTTPS.,['T1071.001']
A SUGARDUMP variant has used HTTP for C2.,['T1071.001']
A TYPEFRAME variant can force the compromised system to function as a proxy server.,['T1090']
A Threat Group-3390 tool can read and decrypt stored Registry values.,['T1012']
A Threat Group-3390 tool can use WMI to execute a binary.,['T1047']
A Threat Group-3390 tool can use a public UAC bypass method to elevate privileges.,['T1548.002']
A Threat Group-3390 tool has created new Registry keys under HKEY_CURRENT_USER\Software\Classes\ and HKLM\SYSTEM\CurrentControlSet\services.,['T1112']
"A Turla Javascript backdoor added a local_update_check value under the Registry key HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run to establish persistence. Additionally, a Turla custom executable containing Metasploit shellcode is saved to the Startup folder to gain persistence.",['T1547.001']
"A Winnti for Windows implant file was named ASPNET_FILTER.DLL, mimicking the legitimate ASP.NET ISAPI filter DLL with the same name.",['T1036.005']
A Word document delivering TYPEFRAME prompts the user to enable macro execution.,['T1204.002']
A dropper used by Putter Panda installs itself into the ASEP Registry key HKCU\Software\Microsoft\Windows\CurrentVersion\Run with a value named McUpdate.,['T1547.001']
